0	丝米 分 零点五
alstom	阿尔斯通公司
alstr	淡尾鹟莺
altai	阿尔泰 阿尔泰山 阿尔泰山脉 阿尔泰雪鸡 高原岩鹨
altaic	阿尔泰语
altair	扁担星 河鼓二 牛郎 牛郎织女 牵牛 牵牛星
altar	圣餐台 坛 祭坛 长明灯
altay	阿勒泰地区 阿勒泰市
altercation	口角
alternate	互生 互生叶 候补 备用 外错角 多重结局 小号 架空历史 错角
alternately	交互 交替 忽高忽低 掩映 更番 迭
alternating	乍暖还寒 交变电流 交流电 电波
alternation	世代交替 交变
alternative	五常 亦称 代称 余月 别名 别称 又名 另类 另类医疗 后路 备选 太公兵法 奥克苏斯河 尼玛 度娘 或体 托克托 替代品 替代燃料 沪上 沪江 浮图 申城 矮油 翼 耐操 花都 荆 莒 轩辕氏 选择 选项 陪都 非主流 香草 齐鲁
alternatively	再不 再不然
althaea	菺
although	不明觉厉 尽管 爱莫能助 牡丹虽好，全仗绿叶扶 牡丹虽好，全仗绿叶扶持 牡丹虽好，全凭绿叶扶持 牡丹虽好，终须绿叶扶持 秤砣虽小压千斤 虽 虽则 虽是 虽然 虽说 饶
altitude	高原反应 高反 高山病 高山症 高度 高程
alto	二胡
altocumulus	高积云
altogether	一共 一总 一起 共 凡 合共 总共 总合 拢共 拢总 满公 统共
altostratus	高层云
altruism	利他 利他主义 忘我 舍己 舍己为人 舍己救人
altruistic	利他行为 无私
alum	明矾 白矾 矾
alumen	涅石 羽涅
aluminum	氢氧化铝 氧化铝 氯化铝 硅酸氟铝 硫酸铝 铝 铝合金 铝矾土 铝箔 铝箔纸 锡婚 锡箔纸
alumna	校友
alumnus	校友
alunite	涅 涅石 羽涅
alveolar	前鼻音 平舌音 舌尖前音 舌尖颤音 齿龈音 龈擦音 龈音
alveopalatal	龈腭音
always	一直 井井 从来 历来 向 向来 呼之即来 呼之即来，挥之即去 呼来喝去 夙夜 尽自 常 总 总是 无时无刻 时刻 横头横脑 永 满天飞 满腹牢骚 积不相能 素 素来 老 老是 自来 蹈常袭故 辄 随时待命
alwayson	息屏显示
alxa	阿拉善右旗 阿拉善左旗 阿拉善盟 阿盟
alyxia	阿利藤
alzheimer	早老性痴呆 老年痴呆 老年痴呆症 阿兹海默症 阿尔茨海默氏病 阿尔茨海默氏症 阿尔茨海默病 阿尔茨海默症 阿茨海默症
am	孤拔
amah	望夫石 老妈子 阿妈
amalgam	汞齐 混和
amanatt	甘纳豆
amanita	鹅膏蕈
amanitin	鹅膏蕈素
amanohashidate	天桥立
amaranth	苋 苋菜
amaranthaceae	苋科
amaranthus	蒉
amateur	业余 业余爱好者 业余者 外行 枪版 爱好者 玩儿票 票 素人 老外 走票
amateurish	外教
amazed	惊异 惊艳 惊讶 愕然 甚感诧异 纳罕
amazing	了不起 厉害 奇景 惊讶 拍案叫绝 拍案惊奇 棒棒哒 爽歪了 神 神功 绝赞
amazingly	神速
amazon	亚马孙 亚马孙河 亚马逊 亚马逊河 阿马逊
ambassador	使领官员 大使 形象代言人
ambassadorial	大使级
amber	丹魄 琥珀
ambergris	龙涎香
ambidextrous	左右共利
ambience	情调 气象 氛围
ambient	环境
ambiguity	多义 歧义
ambiguous	含混 含糊 含糊不清 暧昧 模棱 模棱两可 灰色 牵扯不清 隐晦
ambition	上进心 企图心 心气 心胸 志 志向 志愿 志气 抱负 狼子野心 襟抱 野心
ambitious	争强好胜 企图心 有志气 有雄心 枭雄 空腹高心 远大 雄心勃勃
ambiversion	中向性格
ambiverted	中向性格
amblygeustia	味觉迟钝
amblyopia	弱视
ambrosia	琼浆玉液 龙肝凤胆
ambulance	救护车 白车
ambulatory	回廊 步足
ambush	伏兵 伏击 十面埋伏 埋伏
ameba	阿米巴原虫
amebiasis	阿米巴病
amebic	阿米巴病 阿米巴痢疾
amedeo	阿伏伽德罗
amei	张惠妹
amen	诚心所愿 阿们 阿门
amenable	吃软不吃硬
amendment	修正案
amenorrhoea	不月 经闭 闭经
america	亚美利加 亚美利加洲 美利坚 美国在线 美巴 美洲
americaeurope	美欧
american	印第安人 查加斯病 红人 美元 美制 美剧 美国人 美国国家标准学会 美国国际集团 美国存托凭证 美国独立战争 美国航空 美国航空公司 美国运通 美属萨摩亚 美式橄榄球 美式足球 美洲金鸻 美洲鸵 美籍 美语 花旗参 葡萄胸鸭 西洋参
americansoviet	美苏
americanstyle	美式
americium	鋂 镅
amethyst	紫晶 紫水晶 紫石英
amhara	阿姆哈拉
amharic	阿姆哈拉
amiability	和气生财 和气致祥
amiable	亲切 亲和 可亲 和气 和蔼 和颜悦色 小哥哥 平易 平易近人 慈和 易 春风和气 蔼然 谦和 随和
amicable	亲睦 友好 睦 睦邻 蔼然
amid	之间
amide	酰胺
amidine	脒
amidst	云里雾里
amiens	阿美恩斯
amine	胺
amino	氨基 氨基酸 胺基酸 转氨基酶
aminoacridine	氨吖啶
aminobenzene	苯胺
aminobenzoic	氨基苯酸
aminopyrine	氨基比林
amir	埃米尔
amis	阿美族
amiss	不对 不对头 不是味儿
amitabha	弥陀 阿弥陀佛 阿弥陀如来
amitayus	无量寿
amitosis	无丝分裂
amman	安曼
ammeter	安培表 安培计 电流表 电表
amminadab	亚米拿达 阿米纳达布
ammonal	阿芒拿
ammonia	氨 氨气 氨水 阿摩尼亚 阿摩尼亚水
ammonite	鹦鹉螺
ammonium	氯化铵 硝酸铵 硫酸铵 碳酸氢铵 碳铵 肥田粉 铔 铵
ammunition	弹壳 弹夹 弹药 弹药库 弹药补给站 火
amnesia	健忘症 失忆症 遗忘症
amnesty	国际大赦 国际特赦 国际特赦组织 大赦 大赦国际 赦令
amniocentesis	羊水穿刺 羊穿 羊膜穿刺 羊膜穿刺术
amnion	羊膜
amniotic	羊水
amobarbital	异戊巴比妥 青发
amoeba	变形虫 阿米巴 阿米巴原虫
amoghasiddhi	不空成就佛
amomom	砂仁
amon	亚们
amonang	黏木
among	中 中间 之中 之间 其中 内中 圈内 在内 当中 民间 身上 间
amorous	春心 春情 秋波 艳 风情
amorphous	无定形碳
amortization	摊提 摊销
amount	债务 减幅 多寡 多少 客运量 强弱 数字 数目 数码 数量 数额 欠费 涨幅 电荷量 蕴藏量 量 钟 饭量
amoxicillin	阿莫西林
amp	压线钳
ampelopsis	白蔹 萰
ampere	安 安培
amperehour	安培小时
amperemeter	电表
ampereturn	安匝
amphetamine	安非他命 安非他明 苯丙胺
amphibian	两栖动物 水陆
amphibians	两栖类
amphibious	两栖 两栖动物 水陆两用 虒
amphibole	闪石
amphitheater	圆形剧场
amphoteric	两性
ampicillin	氨苄青霉素
ample	丰厚 丰满 余裕 充分 充裕 十足 宽余 宽裕 浩博 满满登登 用武之地 纾 绰 褎 足 重赏 雄厚
amplification	增幅
amplifier	扩音器 扩音机 放大器
amplitude	振幅 波幅 调幅
ampoule	安瓶 安瓿 安瓿瓶 针剂瓶
amputation	剕 截肢
amsterdam	阿姆斯特丹
amu	阿姆河
amulet	护身符 护身符子 符咒
amun	阿蒙
amur	东亚石䳭 东北虎 寿带 红脚隼 远东豹 阿穆尔州 阿穆尔河 黄檗 黑龙江河
amused	笑点低
amusement	娱乐 娱乐中心 娱遣 嬉 欢娱 消遣 游乐园
amusing	可乐 哏 噱头 好玩 妙趣 戏说 有劲 有趣 滑稽 谐趣 逗 逗人 逗笑
amway	安利
amygdala	杏仁体 杏仁核
amygdalin	苦杏仁苷
amyl	亚硝酸异戊酯 戊醇
amylase	淀粉酶
amylum	淀粉
amyotrophic	渐冻人症 渐冻症
an	CP 一丝一毫 一个 一举 一体 一刹那 一大通 一把年纪 一次生，两次熟 一袭 一说 一起 一鸣惊人 万马齐喑 上升趋势 不堪入目 不完全叶 不打不成相识 不打不相识 不知天高地厚 丑妻近地家中宝 中国通 临时演员 临演 习作 事怕行家 人是铁饭是钢 人流手术 人臣 仕 代办 令 以眼还眼 以眼还眼，以牙还牙 以色列人 会社 传承 低八度 供奉 便函 便意 便饭 假人像 催吐剂 先辈 兜兜 全套 八股 兵 兵马未动，粮草先行 兼优 内行 冒名 冤屈 出口 出演 切中要害 创见 别动队 刹那 剅 势不可当 勤务 协会 单个 单根独苗 博览会 卧底 发明 变故 可乘之机 台词 史诗 号令 吊门 同谋 后起之秀 呼吁 哀兵必胜 喜则气缓 喷发 喻 四不像 国色天香 处死 备抵 外显子 外来物种 大势所趋 大红袍 大获全胜 天香国色 失业者 失学 失常 失衡 失道寡助 奇人 奇士 奇思妙想 套取 奢望 奢求 奢盼 奥斯卡金像奖 安德海 安禄山 安重根 官职 宠擅专房 审美眼光 宿怨 寸金难买寸光阴 对应词 将令 小产 小作怡情，大作伤身 小己 小隐隐于林，大隐隐于市 小隐隐于野，大隐隐于市 尿意 屎意 川 工程 巨子 巨额 平川 年刊 幻想 应声 建业 异事 张飞打岳飞 当局者迷，旁观者清 录音 形象大使 得意洋洋 心烦 心轮 快件 怨偶 悬赏令 情种 惯家 感受 慧眼 懂眼 懿旨 成丁 成人 成例 战旗 才气过人 才识过人 抚 押运员 拱坝 拱顶 挽歌 挽词 挽辞 排气孔 推演 推衍 搭界 摘录 收场 攻击 教廷大使 斗筲 旁观者清 旄车 日环食 明人不做暗事 明理 星星之火 星星之火，可以燎原 春光 春风 普信男 暮景 未知数 机 杂七杂八 枪匪 槽点 橡皮 止痛剂 正经事 死于非命 殡仪馆 气枪 氧乙炔炬 沉湎酒色 注 流年不利 浮想 溟岛 满城风雨 漏失 熟手 熨 爆冷 爆冷门 犯规 独生子女 献礼 环保斗士 理想 申令 电流 电站 病根 白文 白眼狼 盛赞 省字号 省略 睁眼瞎 矛头 碑 神奥 票友 票友儿 秩 穷途末路 空腹 窍门 窍门儿 窜犯 笆 笑柄 笔杆子 等同语 等式 篝火狐鸣 簦 粗饭 繁征博引 约定 约见 纵观 经济体 绝笔 统筹 统筹兼顾 绵里藏针 缉捕 美国佬 美术品 翻拍 老两口儿 老司机 老手 老牌 老生常谈 老美 老话 老马识途 考官 脚正不怕鞋歪 芥蒂 芭 茬口 荒村 莅事者 蓝海 蓝皮书 虎蹲炮 虿 融合 街道办事处 裎 襟抱 视察 解析函数 触发引信 言者无罪，闻者足戒 订金 诉愿 译词 读本 账册 账房 账目 账簿 账面 贵人多忘 走眼 超负荷 超额配股权 趋之若鹜 软硬兼施 辇 辩词 辩辞 过来人 远人 远征 远谋 追加 选修 选录 透支 通气孔 道 酸 释义 重叠 釪 钱串子 铁律 铁环 铁甲舰 锪孔 长者 门当户对 闰 闰四月，吃树叶 闻所未闻 阴虚火旺 阿三 陈账 隐疾 难言之隐 震天价响 静脉点滴 非人 非婚生子女 非常手段 面谈 鞌 顷久 项庄舞剑，意在沛公 顺风车 颁赏 题字 题诗 风景线 香火不绝 高八度 鬼怕恶人 鹤俸 麻椒 麻醉剂 黑人 黑光灯 黑灯
anabiosis	复苏
anabolic	合成类固醇
anabolism	合成代谢 同化作用
anacardiaceae	漆树科
anaclinal	逆斜
anadiplosis	重复法
anaerobic	厌氧 厌氧菌 无氧 缺氧
anaesthesiologist	麻醉学者
anaesthetist	麻醉师
anal	肛交 肛欲期 肛裂 臀瓣 臀鳍 鸡奸
analgesic	止疼片 止痛 止痛药 解痛 镇痛剂 镇痛药
analgin	安乃近
analog	模拟 模拟信号 模拟放大器 类比
analogous	同功 类似
analogtodigital	模数 模数转换器
analogy	映衬 比喻 比拟 比方 类比 譬喻
analysis	分析 分析处理 解析
analyst	分析人士 分析员 分析家 分析师
analytic	分析法 分析语 解析 解析几何 解析几何学 词根语
analytical	分析化学 分析心理学
analyzer	分析器
anaphalis	荻
anaphylactic	过敏性休克
anaphylactogen	过敏原
anaphylaxis	过敏性 过敏性反应
anapodoton	歇后语
anarchism	无政府主义
anas	凫
anastas	米高扬
anathema	深恶痛绝 过街老鼠
anatolia	安纳托利亚 小亚细亚
anatomy	解剖 解剖学
anatta	无我
ancestor	先人 宗 祖 祖宗
ancestors	上辈 先祖 先辈 显祖 祖先 祖辈 老辈
ancestral	原籍 宗室 宗庙 宗祠 庙 本贯 砫 祖先 祖坟 祖宅 祖屋 祖籍 祖茔 神位 祠堂 祠庙 祧 谱氏
ancestry	祖系 祖辈
anchor	主持 主持人 主播 拖牵索道 新闻主播 碇 锚 锚点 锚链
anchorage	停泊 安克拉治 安克雷奇
anchovy	凤尾鱼 鳀 鳀鱼
anci	安次区
ancient	㲋 丁 丈八蛇矛 上古 丑 丙 东胡 久远 乌尔格 乙 乢 乾 亥 亭长 佧 傿 先贤 兕觥 党项 党项族 八音 典籍 刀锯鼎镬 匕 午 卯 历史久远 叒 古 古义 古书 古人类 古今 古代 古代史 古史 古国 古城 古堡 古字 古巴比伦 古希腊 古希腊语 古文明 古方 古昔 古籍 古罗马 古老 古装 古训 古语 古谚 古道 古都 古雅典 古音 史前古器物 司南 嗕 嘂 坟 坤 垓下 壎 壬 大宛 奇门遁甲 子 寅 尊 尚书郎 崖州 巳 巽 幽 庚 庱 弈 微 忞 戌 戎羯 扁嘴海雀 投壶 挝 故都 斄 斛 方册 旧书 月氏 未 栈车 槜李 洭 灈 爪哇国 爰 爵 特洛伊 犩 犪牛 甲 申 畤 癸 皇古 盎 石 砭 礮 祖先 篹 簋 絘 絘布 红樱枪 经卷 老皇历 肃慎 腊 自古 舍人 艨艟 艮 菻 蓟 蛇矛 角 觱栗 觱篥 觳 辛 辰 远古 遗书 邬 邲 邴 邺 邽 郎中 郙 郝 郦 郿 鄗 鄮 鄵 酉 里 针砭 钿 铳 锏 锱 锾 镈 镋 镒 阿斯图里亚斯 陈仓 震旦 露台 飞挝 鬲 鼎 龟兹 龠
and	与 与门 且 乃至 之类 云云 什么的 以及 以此类推 十六字诀 半 即可 又 及 及其 后事 和 啷当 因而 安藤 并 并且 推而广之 暨 等 等等 而 耳 聿 诸如此类 跟 载 进而 雍容
anda	安达市
andaman	安达曼岛 安达曼海 安达曼群岛
andante	行板
andaz	安达仕
anders	埃斯特朗
andes	安第斯山脉
andesite	安山岩
andhra	安得拉邦
anding	安定区
andingmen	安定门
andorra	安道尔 安道尔城
andosol	火山灰土
andre	安德烈
andreas	巴德尔
andrei	萨克洛夫 萨哈罗夫
andrew	卡内基 安德肋 安德鲁
andrija	莫霍洛维奇
android	安卓 机器人
andromeda	仙女座 仙女座星系 仙女星座 仙女星系
andropause	更年期
andy	刘德华
anecdote	掌故 美谈 轶事遗闻 轶闻 逸事 逸话
anemarrhena	知母
anemia	血亏 贫血 贫血症
anemic	贫血性坏死
anemometer	定风针 风标 风速计
anemone	银莲花
anemonefish	小丑鱼
anesthesia	半麻醉 麻醉
anesthesiology	麻醉学
anesthetic	蒙药 麻药 麻醉药
aneurysm	动脉瘤
anew	从头 重头
anfu	安福县
ang	昂昂溪区 李安
angel	天使 天使投资 天使投资人 安吉尔 安琪儿
angela	张韶涵 默克尔
angelica	当归 芷 苻 茞
anger	乌气 同仇敌忾 奰 忾 忿 怒 怒气 怫 愤 激愤 火气
angina	咽峡炎 心绞痛 绞痛
angiography	血管摄影 血管造影
angioma	血瘤 血管瘤
angiosperm	被子植物
angiospermae	被子植物门
angkor	吴哥窟
angle	三角铁 交角 仰角 俯角 倾角 偏角 偏转角 分角线 周角 夹角 对顶角 尖括号 旋转角 衍射角 视角 角 角平分线 角度 角磨机 角规 角钢 角铁 角阀 量角器 顶角
anglepreserving	保角
angler	钓客 钓鱼者
anglerfish	琵琶鱼 𩽾𩾌
angling	垂钓
anglo	盎格鲁
angloamerican	美英
anglofrench	英法
anglogerman	英德
anglojapanese	日英联军
anglophone	英语系
anglosaxon	昂撒 盎撒 盎格鲁撒克逊 盎格鲁萨克逊
angola	安哥拉
angrily	悻然
angry	口角 嗔目 嗔色 奭 好气 彪休 怒容 怒色 怫然 恼怒 恼恨 悁 悻 悻悻 愤怒 愤然 愤青 懠 敢怒而不敢言 歜 气不平 气话 激愤 火儿 焢 獳 艴 骂声
angstrom	埃
anguilla	安圭拉
anguish	冤苦 痛楚
anguished	哀号 哀嚎 揪心扒肝
angular	玉竹 萎蕤 角动量 角回 角速度 角频率 转速
anguo	安国市
angus	安格斯 安格斯牛
anhua	安化县
anhui	傩戏 安徽大学 安徽省 徽剧 徽墨 徽菜 徽调 皖系军阀
anhydride	酐
anhydrite	硬石膏
anhydrous	无水
aniline	苯胺 阿尼林 靛油
anilingus	舔肛
animacy	动物性
animal	䝙 兕 兽 兽术 兽皮 兽穴 动保 动物 动物农场 动物庄园 动物油 动物界 劳役 嚵 敌害 栏圈 溷 牧业 牧畜 牲礼 生肖 畜力 畜牧业 畜肥 疃 罠 肪 荤油 血祭 训兽术 豢圉 走兽 躔 革 食 饲养业 驭兽术 骨炭
animaldrawn	兽力车 畜力
animals	兽类 牲口 竞技动物
animated	动态图形 动画片
animatedly	兴冲冲
animation	动态图形 动效 动画
anime	动漫 漫展 番剧
animosity	三仇 仇 嫌隙 怒恨
anion	负离子 阴离子
anise	八角 茴芹
aniseed	八角 大茴香子 茴芹
anita	袁咏仪
anji	安吉 安吉县
anju	安居区
ankang	安康市
ankara	安卡拉
ankle	孤拐 短靴 脚脖子 脚腕 脚踝 脚链 腿腕 船袜 足踝 踝 踝骨 踠
anklehigh	高帮
anklestrap	罗马凉鞋 罗马鞋
ankor	柬吴哥王朝
ankorwat	吴哥城
ankylosing	强直性脊柱炎
anle	安乐区
anlong	安龙县
anlu	安陆市
anna	安娜 安娜·卡列尼娜 库尔尼科娃 黄柳霜
annal	青史
annals	史 史册 年表 春秋 纪年 编年史
annam	安南 灰岩鹪鹛
annamite	安南山脉 长山山脉
annan	安南 安南区
annapolis	安纳波利斯
annealed	韧
annealing	退火
annelid	环节动物
annelidan	环节动物门
annex	分店 附加
annexed	属地 附设
annie	安妮
annihilated	覆没
annihilation	断灭 断灭论 消灭
anning	安宁区 安宁市
anniversary	华诞 周年 周年庆 忌日 忌辰 校庆
annotated	汇注
annotation	注解 注释 疏 评注 诠释 附注
annotations	圈圈点点
announce	报幕 报捷
announcement	公告 公报 启事 告示 喜报 文告 通告
announcer	报告员 播报员 播音员
annoyance	訬
annoyed	不悦 又好气又好笑 干 心烦气躁 恼火 懊恼 窝囊 糟心
annoying	可气 恼人 惹人厌 机车 极品 欠扁 滚刀肉 烦人 烦心 破事 磨人 缠夹二先生 讨厌 麻烦
annual	一年生 周年 大计 岁修 岁俸 岁入 岁出 岁计 岁计余绌 年产 年会 年假 年均 年均增长率 年度 年度大会 年度报告 年度股东大会 年度预算 年息 年报 年收入 年检 年薪 年费 年轮 年较差 年鉴
annually	年年
annuity	年金
annular	环状
annulled	废止
annulus	圆环 环形 环面
annunciation	天使报喜节
anode	阳极 阳电极
anodyne	止痛药 镇痛剂
anoint	涂油于
anonymous	佚名 匿名 无名氏 无记名 树洞 网特 网络特工 网路特务
anopheles	按蚊 疟蚊
anorexia	厌食 厌食症 精神性厌食症
anorexic	排骨精
another	他 他人 他国 六艺 兴安运河 再就是 别 别样 别称 别论 另 另一 另一方面 另当别论 另案 周易 喻世明言 复诊 外乡 定海神针 岱宗 庖牺氏 彼 改天 改日 晏平仲 梁唐晋汉周书 法轮大法 泰华 津沽 王母 王母娘娘 瓦城 老聃 西子 道学 释尊 零族 韩非子 麟经
anoxia	缺氧症
anping	安平区 安平县
anqing	安庆市
anqiu	安丘市
anren	安仁县
anshan	鞍山市
anshi	安史之乱
anshun	安顺市
anson	陈方安生
answer	响应 回答 回覆 答卷 答案 解答 谜底
answering	对唱 对歌 相应 答录机
ant	古特雷斯 花呗 蚁 蚁巢 蚁穴 蚁窝 蚂蚁 蚂蚁包 蚂蚁窝 蚂蚁金服 蚳 螘
antacid	制酸剂 解酸药
antagonism	对抗 敌对性 敌视
antagonist	敌手
antagonistic	对抗性 拮
antananarivo	塔那那利佛 安塔那那利佛
antarctic	南极界
antarctica	南极洲
antares	心宿二
anteater	食蚁兽
antecedent	前事 前件
antecedents	前因 来历
antei	安贞
antelope	羚 羚羊
antenatal	产前 产前检查 胎教
antenna	天线 触角
antennae	触须
anterior	前房角
anteroom	前厅
anthemis	春黄菊属
anther	花药
anthill	垤 蚁丘 蚂蚁包
anthocyanidin	花色素 花青素
anthocyanin	花色素苷
anthology	名人录 总集 白香词谱 选本 选编 选集 集子
anthony	安东尼 安东尼与克莉奥佩特拉
anthracene	蒽
anthracite	无烟煤 白煤
anthracnose	炭疽 炭疽病
anthraquinone	蒽醌
anthrax	炭疽 炭疽杆菌 炭疽热 炭疽病 炭疽菌苗 癀病
anthropoid	人猿
anthropologist	人类学家
anthropology	人类学 民族学
anthropomorphism	人格化 拟人
anthrosol	人为土
anthurium	花烛
anti	反 抗
antiaging	逆龄
antiaircraft	反空降 对空射击 对空火器 防空 高射机枪 高射炮
antialias	消除锯齿
antialiasing	反锯齿 抗锯齿
antiamerican	反美
antiaris	箭毒木 见血封喉树
antibacterial	抗菌 抗菌药
antibiotic	抗抗生素 抗生素 抗菌素
antibody	抗体
anticancer	抗癌
anticapsizing	抗倾覆
anticaries	防龋
anticheating	防弊
antichemical	防化救援
antichinese	反华 排华
antichrist	敌基督
anticipation	料及
anticlimax	反高潮
anticline	背斜
anticlockwise	逆时针
anticoagulant	抗凝血剂
anticodon	反密码子
anticommunist	反共 白 白色
anticontraband	反走私
anticorrosion	防腐
anticorruption	反腐 反贪 反贪污 反贪腐
anticounterfeiting	防伪
antics	噱头
anticyclone	反气旋
antid	反杜林论
antidepressant	抗忧郁药 抗抑郁药
antiderivative	原函数
antidoping	反兴奋剂
antidote	解毒剂 解毒药 解药
antidumping	反倾销
antienglish	反英
antifa	安提法
antifan	黑粉
antiflood	防汛
antiforeigner	排外
antifraud	防弊
antifreeze	防冻 防冻剂
antigen	抗原
antigenic	抗原决定簇 表位
antigovernment	反政府
antigraft	反腐败
antigua	安地卡及巴布达 安提瓜和巴布达 安提瓜岛
antihacker	防骇
antihero	反英雄
antihistamine	抗组织胺 抗组胺剂 抗组胺药
antihypertensive	降血压药
antihypotensive	升压剂
antiimperialist	五卅运动
antiinfiltration	反渗透 反渗透法
antiinflammatory	抗炎性 消炎药
antiintellectual	反智 反知识
antiintellectualism	反智主义 反智论
antijapan	反日
antijapanese	抗日
antimagnetic	防磁
antimanchu	排满
antimatter	反物质
antimissile	反导 反导导弹 反导弹 反导系统 反弹导弹
antimonopoly	反垄断
antimony	锑
antinuclear	反核 防核
antioxidant	抗氧化剂
antiparticle	反粒子
antiparty	反党
antipathy	反感
antiperspirant	止汗剂
antiphon	唱和
antiphonal	对唱
antipinch	防夹
antipodal	对映
antipode	对跖点
antipsychotic	抗精神病
antipyretic	消炎 消炎片 退烧药
antipyrine	安替比林
antiqing	会党 光复会 华兴会 反清 复古会
antiquated	陈旧
antique	古物 古玩 古玩店 古砚 古籍 古董 菱花镜
antiquity	上古 古时 远古
antirightist	反右 反右派斗争 反右运动
antiroll	减摇鳍
antiscience	反科学
antiscientific	反科学
antisecession	反分裂法
antiseismic	抗震
antisemitism	反犹太主义 排犹 排犹主义
antisense	反义
antiseptic	防腐 防腐剂
antiserum	抗血清
antiship	反舰导弹 反舰艇
antiskid	防滑
antislip	止滑
antisocial	反社会 反社会行为 孤僻 戾气
antispasmodic	解痉剂 镇痉剂
antisubmarine	反潜 猎潜 猎潜艇
antisurge	防喘振
antitank	反坦克
antiterrorism	反恐
antitheft	防盗
antithesis	对仗 对偶 映衬
antithetical	对子 对立 联
antitoxins	抗毒素
antitrust	反垄断 反垄断法 反托拉斯
antiviral	抗病毒
antivirals	抗病毒药
antivirus	杀毒软件 杀软 防毒软件
antiwar	反战 反战抗议
antixi	反习
antiyuan	反袁运动
antler	鹿角
antlers	觡
antlia	唧筒座
antoine	拉瓦锡
anton	契诃夫
antoni	高迪
antonin	德沃夏克
antonio	韦瓦第
antonomasia	代称
antonym	反义字 反义词 对立面
antonymous	反义
antu	安图县
antwerp	安特卫普
anus	后庭 后门 尻门子 屁眼 屁股眼 肛 肛门 菊花
anvil	砧 铁砧
anwar	安瓦尔 萨达特
anxi	安溪县
anxiang	安乡县
anxiety	心病 忧 忧虑 恤 悒 惶 愁肠 愁苦 懮虑 担懮 焦急 焦虑症 虑
anxin	安新县
anxious	㤽㤽 企盼 心急 心焦 忐忑不安 忧心 忧悒 急于求成 急人之难 怫 悄悄 情急 惴 惶恐不安 惶惑 惶惶 惶遽 懆 懊𢙐 担心 担惊受怕 揪心 求知 灭此朝食 烦乱 热锅上的蚂蚁 焦 焦急 焦虑 猴急 盱 蛩 遑遑
anxiously	亟
any	三国 举凡 任一 任一个 任何 任意 再也 凡是 分分钟 学问 张三李四 张王李赵 浣 海瓜子 老鹰 胡乱 阿猫阿狗 随地 鲼
anyang	安阳县 安阳市
anyhow	左不过 总归
anyi	安义县
anyoldhow	眉毛胡子一把抓
anyone	张王李赵 得饶人处且饶人 有人 有目共睹 有目共见
anything	不妙 什么 无论何事 百无禁忌
anytime	随时随地
anyuan	安源区 安远县
anyue	安岳 安岳县
anyway	不过 又 反正 总 横竖 死活 管他呢 管他的
anywhere	哪儿 哪里 无论何处 每处 随处
anzac	澳新军团日
anze	安泽 安泽县
ao	奥黛 敖广 敖顺 隞
aohan	敖汉 敖汉旗
aoji	澳际
aoki	青木
aomori	青森 青森县
aorta	主动脉 黄喉
apart	以外 其余 其外 除了 除去 除此之外
apartheid	种族隔离
apartment	公寓 公寓大楼 公寓楼 单元房 套房 套间 居室 居民楼 房子 楼花
apathetic	淡漠 温吞 漠然 麻木 麻木不仁 麻痹
apathy	思想顽钝 惰性
apatite	磷灰石 磷灰粉
apatosaurus	迷惑龙 阿普吐龙 雷龙
ape	无尾猿 猩 猭 猿
apec	亚太经合会 亚太经合组织 亚太经济合作组织
apeman	猿人
apennine	亚平宁
aperitif	开胃酒 餐前酒
apert	亚伯氏症
aperture	光圈 口径 孔穴 窦 隙缝
apes	猿猴
apex	嵴 巅峰 顶 顶尖 顶部 颠
aphasia	失语 失语症
aphelion	远日点
aphid	油汗 蚜虫
aphis	蚜
aphorism	警句
aphrodisiac	春药
aphrodite	阿佛洛狄忒
aphrophora	蚻
aphthous	口蹄疫
apia	阿皮亚
apical	舌尖 舌尖音
apiculture	养蜂业
apiculturist	养蜂人
apiece	各自
aplastic	再生不良性贫血 障碍性贫血
aplenty	多了去了
apoapsis	远拱点
apocalypse	浩劫
apocrypha	伪书 伪经 圣经外传 次经
apocryphal	轶闻 逸话 集部
apodidae	雨燕
apogee	远地点
apollo	太阳神 日神 阿波罗
apologetic	拍谢
apologist	辩护士
apology	歉意 陪罪
apostasy	叛教
apostate	异教徒
apostle	使徒
apostrophe	撇号 省略符号 隔音符号
apothecary	化学师
apotheosis	神化
app	应用 角标
appalachian	阿巴拉契亚
appalling	了得 没眼看 雷人
apparatus	仪 仪器 器官 器械 雷电计
apparel	服饰 穿戴
apparent	体感温度 显明 表观 视亮度 逴
apparently	似是而非 似曾相识 看来 看起来 秤砣虽小压千斤
apparition	幽灵
appbased	网约车
appeal	上诉 审级 情趣 感召力 感染力 申诉 韵
appealing	有卖相 脍炙人口
appeals	上诉法院
appearance	丰 人品 仪 仪容 仪表 体貌 像 出场费 嘴脸 外衣 外貌 姿 姿容 容 市容 形容 形色 形貌 态 显现 样 样子 样貌 模样 毛色 状 现象 相 相貌 眉眼 神态 脸相 色 表面 要样儿 观瞻 象 貌 貌相 造型 长相 面向 面容 面目 面貌 音容 颜色
appearence	面相
appearing	外刚内柔 外露 夫子自道 时显时隐 时隐时现 色厉内荏 隐显
appears	看起来
appeasement	绥靖 绥靖主义
appellation	头衔 称 称呼 称谓
appellee	被上诉人
appendage	附属物 附庸 附肢
appendectomy	阑尾切除术
appendicitis	盲肠炎 阑尾炎
appendix	后附 盲囊 盲肠 续增 阑尾 附件 附录
